patch_lon,patch_lat,patchclass,T_eff_wilheit_H,T_eff_wilheit_V,T_eff_lv_multi,T_eff_lv_two,T_eff_wigneron,T_eff_holmes2006,T_eff_wigneron2008,depth_90_lv_multi,t_surf,wc_surf,clay_surf,mvt_surf,sand_surf,bd_surf,t_deep,t_soi_max,eps_surf_real,eps_surf_imag,C_lv_two,C_holmes2006,C_inverted_wilheit,b_param_inverted,dz_surf_inverted,t_soi_layer_1,t_soi_layer_2,t_soi_layer_3,t_soi_layer_4,t_soi_layer_5,t_soi_layer_6,t_soi_layer_7,t_soi_layer_8,t_soi_layer_9,t_soi_layer_10
130.1179580974275,-17.119133066606455,10,318.17114,318.17114,307.48413,304.6059,309.88773,310.61096,309.04077,0.078612775,311.58133,0.1465297,0.19853324,0.02923896,0.4483946,1398.4105,302.82568,318.17114,8.294369,0.49469554,0.20332271,0.8891722,1.7526358,3.4099292e-05,2.2840252,318.17114,307.403,305.16855,304.06378,304.27475,304.07495,302.91147,302.6607,302.8743,302.43564
130.3793659127417,-17.133559851075763,10,316.31085,316.31085,309.3849,305.0869,310.96588,311.1148,309.8531,0.07016876,312.08118,0.19399902,0.3195108,0.029610034,0.38579845,1342.6426,302.98328,316.31085,10.816742,0.65353084,0.23122364,0.8937825,1.4649067,3.5669716e-05,1.9743738,316.31085,309.39932,306.45474,304.727,304.71027,304.24677,303.0414,302.87143,303.03403,302.60233
130.59033756226412,-17.136460025606787,7,318.37643,318.37643,307.37756,304.44556,310.16513,310.54224,309.12646,0.07207204,311.50427,0.17615217,0.3004403,0.02955154,0.42212066,1350.2782,302.43304,318.37643,9.834194,0.5944412,0.221856,0.89394754,1.7575779,3.5728463e-05,2.0697017,318.37643,307.14694,305.23557,304.32153,304.4615,303.93094,302.49258,302.31857,302.50534,302.19247
131.54728309629365,-17.0910299310244,7,315.1143,315.1143,306.68988,303.84937,308.5505,309.13672,307.8338,0.07692884,309.9556,0.1536936,0.21213818,0.02928069,0.4535679,1466.9651,302.22668,315.1143,8.674358,0.524484,0.20994705,0.8940503,1.6674538,3.576512e-05,2.2030976,315.1143,306.68472,304.26825,302.91028,303.07977,302.94208,302.07187,302.52426,303.07645,302.82404
131.53958333333335,-17.097916666666663,9,316.11584,316.11584,306.73737,303.9885,308.66748,309.51572,308.09497,0.08108546,310.3827,0.13371159,0.18610835,0.02920085,0.46083972,1561.6001,302.41544,316.11584,7.6789308,0.46058455,0.19744062,0.89118415,1.7195897,3.476828e-05,2.3604143,316.11584,306.74756,304.60556,303.2904,303.28778,303.17505,302.265,302.70456,303.34903,303.11246
131.62576529900952,-17.12530336016377,10,317.1567,317.1567,305.0559,302.90662,307.70853,308.99265,307.03015,0.08478442,309.9477,0.1101198,0.12089775,0.02900083,0.6612142,1396.0269,301.32468,317.1567,6.5913925,0.39320767,0.18345529,0.88924605,1.8360201,3.4123415e-05,2.5616148,317.1567,305.37674,302.86108,301.47357,301.45023,301.60596,301.19662,301.57077,302.0038,301.72818
131.90671379995348,-17.235994555231066,7,315.77368,315.77368,303.2318,300.9557,305.6231,307.4295,304.94995,0.089984074,308.42224,0.08668698,0.06571665,0.028831571,0.8167641,1321.1859,299.42038,315.77368,5.596267,0.33428845,0.17055422,0.8897196,1.8166578,3.4278906e-05,2.7763557,315.77368,303.761,301.1885,299.58112,299.20596,299.35983,299.28314,299.68417,299.9018,299.5584
131.87467985208914,-17.123851236500883,10,316.36505,316.36505,303.765,301.58,306.18912,308.03244,305.5484,0.09270156,309.03314,0.0840444,0.064272,0.028827142,0.7988091,1334.2307,300.07056,316.36505,5.485337,0.32639924,0.16841465,0.8883464,1.8180574,3.383168e-05,2.8151386,316.36505,304.38428,301.73895,300.2116,299.9139,300.0955,299.93558,300.33,300.65472,300.345
132.1411960935965,-17.173858564531233,7,315.73724,315.73724,303.12775,300.7067,305.4839,307.2514,304.78845,0.089150086,308.2508,0.089880966,0.070757605,0.028847035,0.78708917,1324.2649,299.13202,315.73724,5.7293434,0.34289432,0.17268586,0.8904021,1.8209931,3.450533e-05,2.7386682,315.73724,303.50397,300.95148,299.32895,298.9262,299.0639,298.99738,299.39078,299.5749,299.22366
132.1245563911967,-17.12363300266893,10,315.99152,315.99152,303.50058,301.25766,305.8918,307.64142,305.21814,0.08965203,308.6227,0.08825076,0.07330402,0.028854845,0.78184104,1320.3492,299.7344,315.99152,5.6597037,0.3379614,0.17137676,0.8895971,1.8290449,3.4238557e-05,2.761703,315.99152,303.95044,301.32782,299.82144,299.51816,299.68228,299.58444,300.02267,300.31622,299.99377
